Candidate	Score
Solution 406	0.9934064128 [0.992490952048-0.994321873542]
Solution 407	0.9934064128 [0.992490952048-0.994321873542]
Solution 408	0.9934065673 [0.992491110407-0.994322024288]
Solution 409	0.9934064952 [0.992491036362-0.994321953949]
Solution 410	0.9934064128 [0.992490952048-0.994321873542]
Solution 411	0.9942488201 [0.993341614696-0.995156025468]
Solution 412	0.9944142261 [0.993507881536-0.995320570749]
Solution 413	0.9942472024 [0.993339947327-0.995154457396]
Solution 414	0.9944162567 [0.993509873289-0.995322640073]
Solution 415	0.9942494363 [0.993342240456-0.995156632063]
Solution 416	0.9944184906 [0.993512166569-0.995324814590]
Solution 417	0.9944132734 [0.993506890779-0.995319656032]
Solution 418	0.9944142261 [0.993507881536-0.995320570749]
Solution 419	0.9944162567 [0.993509873289-0.995322640073]
Solution 420	0.9944184906 [0.993512166569-0.995324814590]
Solution 421	0.9944132734 [0.993506890779-0.995319656032]
Solution 422	0.9944132734 [0.993506890779-0.995319656032]
Solution 423	0.9944139730 [0.993507624860-0.995320321061]
Solution 424	0.9944161875 [0.993509802266-0.995322572812]
Solution 425	0.9944184214 [0.993512095614-0.995324747261]
Solution 426	0.9944131890 [0.993506804336-0.995319573687]
Solution 427	0.9944139730 [0.993507624860-0.995320321061]
Solution 428	0.9944161875 [0.993509802266-0.995322572812]
Solution 429	0.9944184214 [0.993512095614-0.995324747261]
Solution 430	0.9944131890 [0.993506804336-0.995319573687]
Solution 431	0.9944131890 [0.993506804336-0.995319573687]
Solution 432	0.9944129379 [0.993506549793-0.995319325934]
Solution 433	0.9944129379 [0.993506549793-0.995319325934]
Solution 434	0.9944129379 [0.993506549793-0.995319325934]
Solution 435	0.9944142261 [0.993507881536-0.995320570749]
Solution 436	0.9944162567 [0.993509873289-0.995322640073]
Solution 437	0.9944184906 [0.993512166569-0.995324814590]
Solution 438	0.9944132734 [0.993506890779-0.995319656032]
Solution 439	0.9944132734 [0.993506890779-0.995319656032]
Solution 440	0.9944139730 [0.993507624860-0.995320321061]
Solution 441	0.9944161875 [0.993509802266-0.995322572812]
Solution 442	0.9944184214 [0.993512095614-0.995324747261]
Solution 443	0.9944131890 [0.993506804336-0.995319573687]
Solution 444	0.9944131890 [0.993506804336-0.995319573687]
Solution 445	0.9944129379 [0.993506549793-0.995319325934]
Solution 446	0.9944129379 [0.993506549793-0.995319325934]
Solution 447	0.9944132734 [0.993506890779-0.995319656032]
Solution 448	0.9944131890 [0.993506804336-0.995319573687]
Solution 449	0.9944129379 [0.993506549793-0.995319325934]
Solution 450	0.9951594980 [0.994426264542-0.995892731489]
Solution 451	0.9947581092 [0.994015851219-0.995500367098]
Solution 452	0.9951594980 [0.994426264542-0.995892731489]
Solution 453	0.9951594980 [0.994426264542-0.995892731489]
Solution 454	0.9937746969 [0.992862829522-0.994686564178]
Solution 455	0.9947581092 [0.994015851219-0.995500367098]
Solution 456	0.9947581092 [0.994015851219-0.995500367098]
Solution 457	0.9952256639 [0.994493573382-0.995957754411]
Solution 458	0.9952265800 [0.994494389485-0.995958770571]
Solution 459	0.9953669841 [0.994636218563-0.996097749685]
Solution 460	0.9955725556 [0.994844557922-0.996300553294]
Solution 461	0.9950377663 [0.994302993753-0.995772538923]
Solution 462	0.9951352129 [0.994401602533-0.995868823249]
Solution 463	0.9953671244 [0.994636232309-0.996098016574]
Solution 464	0.9955752298 [0.994847138973-0.996303320583]
Solution 465	0.9951038631 [0.994370246601-0.995837479552]
Solution 466	0.9952012669 [0.994468790375-0.995933743474]
Solution 467	0.9953754571 [0.994644725477-0.996106188671]
Solution 468	0.9952451833 [0.994512946713-0.995977419895]
Solution 469	0.9949818579 [0.994246124909-0.995717590854]
Solution 470	0.9955685372 [0.994840505733-0.996296568738]
