Candidate	Score
Solution 436	0.9944068910 [0.993500565021-0.995313216949]
Solution 437	0.9944168871 [0.993510610950-0.995323163238]
Solution 438	0.9944034837 [0.993497039855-0.995309927558]
Solution 439	0.9944034837 [0.993497039855-0.995309927558]
Solution 440	0.9944027425 [0.993496393685-0.995309091240]
Solution 441	0.9944027425 [0.993496393685-0.995309091240]
Solution 442	0.9944166339 [0.993510354358-0.995322913466]
Solution 443	0.9944032254 [0.993496778089-0.995309672791]
Solution 444	0.9944032254 [0.993496778089-0.995309672791]
Solution 445	0.9943990637 [0.993492593302-0.995305534097]
Solution 446	0.9943990637 [0.993492593302-0.995305534097]
Solution 447	0.9944034837 [0.993497039855-0.995309927558]
Solution 448	0.9944032254 [0.993496778089-0.995309672791]
Solution 449	0.9943990637 [0.993492593302-0.995305534097]
Solution 450	0.9937753008 [0.993024924064-0.994525677588]
Solution 451	0.9932847675 [0.992524964008-0.994044571081]
Solution 452	0.9937753008 [0.993024924064-0.994525677588]
Solution 453	0.9937753008 [0.993024924064-0.994525677588]
Solution 454	0.9923965862 [0.991471792401-0.993321379987]
Solution 455	0.9932847675 [0.992524964008-0.994044571081]
Solution 456	0.9932847675 [0.992524964008-0.994044571081]
Solution 457	0.9937818185 [0.993031657100-0.994531979860]
Solution 458	0.9937822374 [0.993032099566-0.994532375233]
Solution 459	0.9953077630 [0.994576066074-0.996039459827]
Solution 460	0.9955018955 [0.994772724314-0.996231066675]
Solution 461	0.9936652979 [0.992913111510-0.994417484240]
Solution 462	0.9937538109 [0.993002905660-0.994504716081]
Solution 463	0.9953081819 [0.994576502105-0.996039861635]
Solution 464	0.9955023144 [0.994773160358-0.996231468469]
Solution 465	0.9936718155 [0.992919844861-0.994423786197]
Solution 466	0.9937603285 [0.993009638460-0.994511018588]
Solution 467	0.9953761627 [0.994645575928-0.996106749531]
Solution 468	0.9951860313 [0.994452850971-0.995919211575]
Solution 469	0.9936094586 [0.992856051299-0.994362865823]
Solution 470	0.9954960652 [0.994766817193-0.996225313194]
Solution 471	0.9954964841 [0.994767253250-0.996225714976]
Solution 472	0.9955817342 [0.994853914407-0.996309554021]
Solution 473	0.9955777158 [0.994849862459-0.996305569223]
Solution 474	0.9957277592 [0.995000835406-0.996454682895]
Solution 475	0.9957237357 [0.994996780418-0.996450690969]
Solution 476	0.9957178922 [0.994990865204-0.996444919145]
Solution 477	0.9937431386 [0.992992080135-0.994494197052]
Solution 478	0.9937496562 [0.992998813055-0.994500499439]
Solution 479	0.9952834778 [0.994551423023-0.996015532629]
